Name,Type,Category,Tech_Stack,Monetization_Vector,Viral_Loop_Hook,Link_Or_Repo,Arbitrage_Score_10,Strategic_Takeaway
Telegram Mini Apps Next.js Template,Boilerplate,Core Infrastructure,"Next.js 14, React, TypeScript, @telegram-apps/sdk",None (Scaffolding),InitData Mocking,github.com/telegram-apps/nextjs-template,9,"The gold standard official Next.js template. Use for clean App Router setups."
create-mini-app,CLI Boilerplate,Core Infrastructure,"Multi-framework (React, Vue, Solid, Next.js)",None (Scaffolding),Project generator,github.com/telegram-apps/create-mini-app,8,"Quickest scaffold CLI. Saves 2 hours of boilerplate configuration."
grammY TMA Plugin,Framework / Plugin,Bot Routing,"TypeScript, Node.js, grammY",Bot Tollbooths,Session & HMAC verify,github.com/grammyjs/web-app,9,"Best modern TS bot framework. Lightweight and built for serverless edge."
TON Community TMA Boilerplate,Boilerplate,Web3 / Crypto,"Next.js, TON Connect UI, Tailwind, TypeScript",TON Wallet Connect,Crypto wallet sign-in,github.com/ton-community/tma-boilerplate,8,"Plug-and-play TON Connect SDK. Use for wallet connection and on-chain payments."
Adsgram React SDK,Monetization Template,Ad Network,"React, TypeScript, Adsgram JS",Rewarded Video Ads,Ad completion callback,github.com/Adsgram-ai/adsgram-react,9,"Monetize free users with 15s rewarded video ads ($2-$6 eCPM)."
Telethon,Scraper / Userbot,Data Extraction,"Python, MTProto Client API",Arbitrage & Lead Gen,Channel scraping & automated DMs,github.com/LonamiWebs/Telethon,10,"Bypasses Bot API restrictions. Can scrape 100% of messages and user IDs from public groups."
Pyrogram / Hydrogram,Scraper / Userbot,Data Extraction,"Python, MTProto Client API",Data mining & alert bots,Event-driven message listener,github.com/pyrogram/pyrogram,9,"Fast asynchronous MTProto client. Ideal for building real-time sentiment/keyword monitors."
Major,Viral App,Leaderboard / Status,"TMA, Telegram Stars, TON",Telegram Stars Leaderboard,Rank vanity & social flex,t.me/major,10,"Proved pure vanity/ego leaderboards can generate millions in Stars revenue without complex gameplay."
Notcoin / Dogs,Viral App,Tap-to-Earn / Meme,"React, TON Connect, WebSocket",Token airdrop & sponsorships,Referral tiers (frens list) + task walls,t.me/notcoin,9,"Pioneered the viral referral engine (invite 5 friends to unlock boost)."
Catizen,Viral App,GameFi / Micro-SaaS,"Cocos/React, Stars, TON Connect",In-app purchases (Stars) + Rewarded Ads,Invites & daily login streak,t.me/catizenbot,10,"Top grossing TMA. Mastered dual monetization: Stars microtransactions + Adsgram ad gates."
Hamster Kombat,Viral App,Tap-to-Earn,"React, Cloudflare Workers, Adsgram",Daily card upgrades & video views,YouTube video views + friend referral,t.me/hamster_kombat_bot,8,"Massive scale through dopamine loops, daily cipher tasks, and reward multipliers."
Blum,Viral App,Hybrid CEX / DEX,"React, TMA, Node.js",Trading fees + task wall sponsorships,Invite-only drop codes & farming passes,t.me/BlumCryptoBot,9,"Combined a utility exchange with gamified farming to capture millions of waitlist users."
Combot / Rose Bot,Utility Bot,Group Automation,"Python/Go, PostgreSQL, Stripe/Stars",Paid moderation & analytics,Group member discovery,"t.me/combot, t.me/missrose_bot",8,"B2B group toolbooth. Group owners gladly pay for protection, antispam, and filters."
InviteMember / Donate Bot,Tollbooth Bot,Subscription Gate,"Python/Node.js, Stripe, Stars, TON",Subscription fees to private channels,Affiliate revenue split,"t.me/invitememberbot, t.me/donate",10,"High-margin tollbooth taking 5-10% cut on all paid subscription memberships."
Reface / Photo Lab TMA,Viral Utility,Visual Ambush / AI,"React, Fal.ai / Replicate GPU",Stars per HD render / monthly sub,Watermarked preview shared to chats,t.me/photolab_bot,10,"Prime candidate for our /render-trap. Free watermarked photo, 50 Stars for clean 4K export."
DeHashed / OSINT Bot,Utility Bot,Paranoia / Security,"Python, Leak databases, Stars/Crypto",Stars per unredacted report,Free partial leak teaser,t.me/leakcheckbot,10,"Prime candidate for our /osint-radar. Paranoia drives instant 100-Star conversions."
Fragment,Platform,Stars & TON Payout,"TON Blockchain, Smart Contracts",Cash-out portal (Stars -> TON),Official Telegram auction portal,fragment.com,10,"Mandatory platform to withdraw Telegram Stars into liquid TON cryptocurrency."
Telemetree,Platform,Analytics,"TypeScript, Webhook, Analytics SDK",TMA User tracking & conversion funnels,User attribution by Telegram ID,telemetree.io,9,"The Google Analytics for TMAs. Essential to identify high-converting tollbooths."
Telega.io,Platform,Ad Marketplace,"Web portal, Telegram Channel Ads",Direct native ad placement,Channel discovery & CPM tracker,telega.io,9,"Buy cheap shoutouts in targeted Telegram groups to pump initial traffic to our tollbooths."
Cryptomus,Platform,Crypto Gateway,"REST API, Webhook, Multi-chain",0.4% fee on crypto checkouts,Instant invoice widget,cryptomus.com,9,"Accept USDT, SOL, BTC outside Apple/Google in-app fee limits."
